Developer,Total,ln(Total),LOC,ln(LOC),Declaration,ln(Dec),Usage,ln(Use),Recency,ln(Recency),Decl Recency,ln(decl recency),Usage Recency,ln(usage recency),Basic Recency,ln(basic recency),Intermediate Recency,ln(int recency),Advanced Recency,ln(adv recency), Score,class
anushb,0,0,11291,9.331761227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,begin
AppyDev,87,4.465908119,25241,10.13622494,47,3.850147602,40,3.688879454,52.2,3.955082495,28.2,3.339321978,24,3.17805383,38.4,3.64805746,10.8,2.379546134,3,1.098612289,2,begin
pamo,7,1.945910149,33078,10.40662369,78,4.356708827,214,5.365976015,1.4,0.336472237,62.4,4.133565275,171.2,5.142832464,153.6,5.034351821,20,2.995732274,60,4.094344562,3,begin
sanjanaraon,0,0,9718,9.181735115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,begin
rajadhva,15,2.708050201,3190,8.067776196,5,1.609437912,10,2.302585093,12,2.48490665,4,1.386294361,8,2.079441542,12,2.48490665,0,0,0,0,4,begin
nkcsgexi,2571,7.852050207,38934,10.56962318,405,6.003887067,2166,7.680637428,514.2,6.242612295,81,4.394449155,433.2,6.071199515,494.4,6.203344906,19.8,2.985681938,0,0,4,begin
ataulm,1042,6.948897222,18929,9.848450417,132,4.882801923,452,6.11368218,833.6,6.725753671,132,4.882801923,452,6.11368218,477,6.167516491,4.8,1.568615918,59.4,4.084294226,6,middle
twschiller,4898,8.496582238,13068,9.477921773,55,4.007333185,16,2.772588722,1959.2,7.580291506,22,3.091042453,6.4,1.85629799,23.6,3.161246712,0.8,-0.223143551,4.4,1.481604541,6,middle
thejamesthomas,40,3.688879454,2518,7.831220215,17,2.833213344,22,3.091042453,16,2.772588722,3.4,1.223775432,4.4,1.481604541,7.8,2.054123734,0,0,0,0,6,middle
ecaporali,71,4.262679877,15909,9.674640266,63,4.143134726,147,4.990432587,28.4,3.346389145,50.4,3.919991175,117.6,4.767289035,103.2,4.636668853,12.8,2.549445171,50.4,3.919991175,6,middle
sudhansusingh22,27,3.295836866,2707,7.90359629,19,2.944438979,8,2.079441542,27,3.295836866,19,2.944438979,8,2.079441542,26,3.258096538,0,0,0.8,-0.223143551,6,middle
jimbarritt,120,4.787491743,1485,7.303170051,9,2.197224577,7,1.945910149,72,4.276666119,1.8,0.587786665,1.4,0.336472237,3.2,1.16315081,0,0,0,0,7,middle
akshaymankar,16,2.772588722,1067,6.972606251,6,1.791759469,2,0.693147181,3.2,1.16315081,1.2,0.182321557,0.4,-0.916290732,1.6,0.470003629,0,0,0,0,7,middle
WPC,210,5.347107531,8708,9.071997422,31,3.433987204,9,2.197224577,1680,7.426549072,12.4,2.517696473,3.6,1.280933845,15.6,2.747270914,0.4,-0.916290732,0,0,7,middle
hugocorbucci,8,2.079441542,13829,9.534523115,69,4.234106505,51,3.931825633,1.6,0.470003629,41.4,3.723280881,30.6,3.421000009,61,4.11414719,9,2.197224577,1.8,0.587786665,8,middle
mafagafogigante,593,6.385194399,111512,11.62188749,278,5.627621114,540,6.29156914,474.4,6.162050848,166.8,5.11679549,324,5.780743516,379.2,5.93806377,69.2,4.237000863,7.8,2.054123734,9,advanced
matozoid,818,6.706862337,169295,12.03939803,412,6.021023349,52,3.951243719,490.8,6.196036713,412,6.021023349,52,3.951243719,313,5.746203191,242,5.488937726,17,2.833213344,9,advanced
johnzeringue,572,6.349138991,137613,11.83220068,433,6.070737728,639,6.459904454,572,6.349138991,346.4,5.847594177,511.2,6.236760903,864,6.761572769,1.4,0.336472237,12.6,2.533696814,9,advanced
yyoon,1072,6.977281342,91604,11.42523022,1780,7.484368643,1251,7.13169851,857.6,6.75413779,1068,6.97354302,750.6,6.620872887,1314,7.180831199,450.6,6.110580028,18,2.890371758,9,advanced
aj-jaswanth,584,6.369900983,312372,12.65195006,0,0,7,1.945910149,584,6.369900983,0,0,1.4,0.336472237,1.4,0.336472237,0,0,0,0,9,advanced
angshu,292,5.676753802,3353,8.117610746,3524,8.167351987,1374,7.225481473,233.6,5.453610251,1409.6,7.251061255,274.8,5.61604356,661.6,6.494661144,632.6,6.449838311,15.6,2.747270914,9,advanced
eaftan,3031,8.016647877,50092,10.82161659,972,6.879355804,283,5.645446898,1818.6,7.505822253,777.6,6.656212253,169.8,5.134621274,692.8,6.540741357,87.6,4.472780998,18,2.890371758,10,advanced
MFAnderson,39,3.663561646,90005,11.4076205,435,6.075346031,158,5.062595033,7.8,2.054123734,348,5.85220248,126.4,4.839451482,383.2,5.948557046,16,2.772588722,76,4.33073334,10,advanced
